name,number,reference,citation,dvalue,newk,newknum,refage,C&D,C&D_p,K&D,K&D_p,K&C,K&C_p,K&A,K&A_p,D&A,D&A_P
chromatography,643135,22.971,31.597,0.05,0.107,0.126,-9.899,-0.01800287663265802,2.954695710054228e-47,0.018487764440464367,9.710096430321365e-50,0.007753595404286781,5.03110375272422e-10,0.02155550283585211,5.7366631553075794e-67,-0.06729425004775659,0.0
social_science,178105,29.643,38.466,0.08,0.139,0.173,-12.447,-0.04369430382981246,5.335097897612591e-76,0.012695491014914182,8.415225263994189e-08,0.041833983089159615,8.141724288232089e-70,0.011578809263177732,1.025531226101342e-06,-0.04445615396167769,1.3101981755981799e-78
genetics,709150,40.662,65.547,0.01,0.127,0.163,-7.852,-0.014006697650113052,4.105552678758044e-32,0.019232781982198646,5.24372089962516e-59,0.03065762782061254,4.876206140786707e-147,-0.032217576216420026,3.5320354871418107e-162,-0.016257177574903255,1.1456994962920971e-42
psychoanalysis,17413,23.921,23.479,0.117,0.278,0.395,-16.772,-0.038598387604760406,3.489042399678251e-07,-0.019842090019894308,0.008834349492611044,0.06626776363032137,2.0669293860427302e-18,-0.00996869547444651,0.18837865579963148,-0.0341648693958641,6.503216894788147e-06
environmental_planning,23923,27.554,27.466,0.134,0.279,0.388,-8.543,-0.07308034320148066,1.0697231110995863e-29,0.010738957910331692,0.09672100800784264,0.03473039521995089,7.73892962870694e-08,-0.0033352589719117137,0.6059654328376933,-0.05000699948036251,1.0016147278270765e-14
automotive_engineering,171815,13.562,19.44,0.179,0.09,0.105,-10.274,-0.11360205338295978,0.0,0.006571529139656607,0.006450703841070607,0.027378246891470618,7.375237689685066e-30,0.020680021733020637,1.0096213266961177e-17,-0.00566465496639687,0.018872813947296976
operations_research,53884,22.68,37.405,0.076,0.322,0.465,-9.948,-0.05713050757264354,3.3560102474312645e-40,0.027654562850476745,1.3581629541079848e-10,0.038643500272528906,2.8741857384357007e-19,0.03314772596314204,1.3985044455918716e-14,0.018527363334950843,1.700192617138266e-05
internet_privacy,27462,23.393,42.738,0.11,0.357,0.54,-6.512,-0.08710779341841474,2.1044408553658568e-47,-0.018305734102862917,0.002415900806036691,0.07233055802088229,3.486972731609411e-33,-0.021562330905839498,0.0003522553927742962,-0.010365408267020152,0.0858534603886414
combinatorics,175477,16.161,30.76,0.016,0.113,0.148,-12.931,-0.02028557355293846,1.9216291712606857e-17,0.03356947560844198,6.135358156817651e-45,0.0814297569553297,7.373366619781563e-256,0.09083872640343876,3.942446e-318,-0.02873560828498645,2.1964849289419733e-33
economic_policy,16485,23.196,31.017,0.114,0.303,0.444,-8.994,-0.10625064503966658,1.3435799336303405e-42,0.011730843787273258,0.13203978901515823,0.04890291209002155,3.3398845282547746e-10,0.00272989514546099,0.725981477962647,0.0114633828083509,0.141084224076012
acoustics,233356,15.715,23.359,0.16,0.118,0.142,-11.039,-0.07123091332382803,4.0528703766828536e-260,-0.020022087107256756,3.927927193134658e-22,0.03840797189437651,6.712407827855108e-77,0.008131638109623675,8.558791810291328e-05,0.02382018994928816,1.1971306847009121e-30
astronomy,91067,39.717,37.631,0.037,0.087,0.125,-9.058,-0.03475682626535545,9.431521776766426e-26,0.03663539377630208,1.9799425272764993e-28,0.01034868351212061,0.0017902079613831166,-0.026680586445451092,8.091711151841825e-16,-0.0859285408473774,8.638100922331335e-149
agroforestry,66077,32.769,37.106,0.051,0.226,0.32,-11.028,-0.06048294229408425,1.3323051177418168e-54,0.02353289286932979,1.4488306924649006e-09,0.002080837511865781,0.5927335016061733,-0.013486155206999334,0.000526755301361054,-0.04777337261860798,1.0619444175686688e-34
financial_system,16400,27.994,48.738,0.063,0.217,0.295,-9.378,-0.06443305388544655,1.4639308306941399e-16,0.021368238020490496,0.006208272447810538,0.05608097712980875,6.624108877417841e-13,0.044767721556398105,9.722275763858794e-09,0.051257732108247744,5.099223564382645e-11
physical_therapy,458903,31.126,45.619,0.021,0.135,0.171,-9.564,-0.038060584481562916,1.078515791883685e-146,0.037715903347633944,4.397586347287313e-144,0.018436605277132208,8.420514517774388e-36,-0.01912062308578112,2.23273743535998e-38,-0.013060424975406671,8.926471792325485e-19
geophysics,122222,34.466,44.983,0.008,0.115,0.144,-10.678,-0.03500087676597555,1.8997758148324539e-34,0.04460405251022488,7.132794410471945e-55,0.029224765363021488,1.6279043410940472e-24,0.043374509067836416,5.517739726828531e-52,-0.03824534454782308,8.41660838107805e-41
industrial_organization,32767,30.798,54.828,0.055,0.275,0.382,-10.763,-0.03190601045435708,7.61496277522117e-09,0.03208108763057925,6.304180613615966e-09,0.05023491515946501,9.137753800544088e-20,0.07768733497101614,4.801049818115487e-45,0.06635742697014514,2.638950678739788e-33
metallurgy,346327,15.448,22.366,0.136,0.058,0.069,-10.615,-0.1194581368060999,0.0,0.014914812285902173,1.6676709077869859e-18,0.014529644397242615,1.2197230039056919e-17,-0.0020196886961445764,0.23460706421468994,-0.04150793399701687,6.804716463205127e-132
socioeconomics,40940,28.025,37.335,0.076,0.308,0.446,-10.004,-0.08738976353526617,3.184701893799675e-70,0.005959836439052887,0.22786936964473498,0.043034558940456304,3.0060751140271425e-18,-0.005744702663980512,0.245098891431709,-0.03284340521053169,2.991168156796325e-11
communication,86433,37.459,50.78,0.015,0.298,0.419,-11.904,-0.03682108233147158,2.5163292052878888e-27,0.03388048877707858,2.2037839659846928e-23,0.04301826903744302,1.0792234165767107e-36,0.04715399872468376,9.554157124958174e-44,-0.029304034322162976,6.8753727577684336e-18
evolutionary_biology,41699,50.783,69.866,0.012,0.392,0.628,-10.921,-0.028815831980753714,3.972497802671329e-09,-0.009202010327694528,0.06023567278112502,0.012473235545211087,0.010862262637362471,-0.00711886138775029,0.14603780788313328,-0.04611190878207054,4.470925109256166e-21
photochemistry,318900,29.027,29.215,0.033,0.085,0.103,-10.094,-0.02395130933198647,1.0764117884282096e-41,0.011916199243828744,1.70320815498152e-11,0.027966222267813607,3.3203376820812527e-56,0.02233368547089966,1.776174302986896e-36,-0.12797540127466156,0.0
